threshold,precision,recall,f1
0.05,0.03830950378469302,0.9967177242888403,0.07378310520774277
0.06,0.038477837104839395,0.9934354485776805,0.07408616187989556
0.07,0.03890983887555708,0.9934354485776805,0.07488659793814433
0.08,0.03937931933759291,0.9912472647702407,0.07574934158270975
0.09,0.03987472983106171,0.9890590809628009,0.07665889336442654
0.09999999999999999,0.04050110008531274,0.986870897155361,0.07780892818632737
0.10999999999999999,0.041185103650706295,0.9824945295404814,0.07905625495202043
0.12,0.042077580539119,0.9803063457330415,0.08069164265129683
0.13,0.04293002213880066,0.975929978118162,0.08224230130923843
0.13999999999999999,0.04402018003759026,0.973741794310722,0.08423244368729889
0.14999999999999997,0.04497408273198496,0.9682713347921226,0.08595571095571096
0.15999999999999998,0.046087776264795224,0.962800875273523,0.08796481407437025
0.16999999999999998,0.04706706922579254,0.9551422319474836,0.08971328743191861
0.18,0.04792314526876944,0.9442013129102844,0.09121657330091956
0.19,0.04928768382352941,0.9387308533916849,0.09365789760943129
0.19999999999999996,0.05060584461867427,0.9321663019693655,0.096
0.20999999999999996,0.0518214154299031,0.9245076586433261,0.09814169570267131
0.21999999999999997,0.05308501203598125,0.9168490153172867,0.10035928143712575
0.22999999999999998,0.05437121063954625,0.912472647702407,0.10262720728480895
0.24,0.055656626911933155,0.9037199124726477,0.1048556013963821
0.24999999999999994,0.05723414600263944,0.9015317286652079,0.10763503363594801
0.25999999999999995,0.05884039274707948,0.8982494529540481,0.11044595412658909
0.26999999999999996,0.06035502958579882,0.8927789934354485,0.11306637106831094
0.27999999999999997,0.06201787214542122,0.888402625820569,0.11594202898550725
0.29,0.06311139160618491,0.87527352297593,0.1177336276674025
0.3,0.06448461162677088,0.8665207877461707,0.12003637465898757
0.30999999999999994,0.06580050293378038,0.8588621444201313,0.1222360635316101
0.31999999999999995,0.06723124783961286,0.8512035010940919,0.12461957392279353
0.32999999999999996,0.0688363798484173,0.8446389496717724,0.12729821089949708
0.33999999999999997,0.07015610651974288,0.8358862144420132,0.12944764486614707
0.3499999999999999,0.07201665562600548,0.8326039387308534,0.13256684957756293
0.35999999999999993,0.07403789802695838,0.8293216630196937,0.13593974175035867
0.36999999999999994,0.07565226150901581,0.8216630196936543,0.1385481044184116
0.37999999999999995,0.0771867857884895,0.812910284463895,0.1409867172675522
0.38999999999999996,0.07828877005347594,0.8008752735229759,0.1426344505066251
0.3999999999999999,0.08021154693697664,0.7964989059080962,0.14574574574574575
0.4099999999999999,0.08200249178842452,0.7921225382932167,0.14861952170789286
0.41999999999999993,0.08271821909783246,0.7724288840262582,0.14943380251878505
0.42999999999999994,0.08406007751937984,0.7592997811816192,0.15136314067611778
0.43999999999999995,0.08589647411852963,0.7516411378555798,0.15417414721723519
0.4499999999999999,0.08764683103136699,0.7428884026258206,0.15679482738713774
0.4599999999999999,0.08936908096571962,0.7330415754923414,0.1593151824991083
0.4699999999999999,0.09151047409040794,0.7264770240700219,0.16254589963280294
0.4799999999999999,0.094,0.7199124726477024,0.1662875916098054
0.48999999999999994,0.09571788413098237,0.7067833698030634,0.16860237504893644
0.49999999999999994,0.09806629834254144,0.6991247264770241,0.17200538358008075
0.5099999999999999,0.10054174633524537,0.6903719912472648,0.17552155771905426
0.5199999999999999,0.10277136258660508,0.6816192560175055,0.1786123853211009
0.5299999999999999,0.10556884181756064,0.6761487964989059,0.18262411347517732
0.5399999999999999,0.10822818553403235,0.6663019693654267,0.1862100596239107
0.5499999999999999,0.11045328399629972,0.6531728665207878,0.18895394840955848
0.5599999999999999,0.11267064026148818,0.6411378555798687,0.19165985282093215
0.57,0.11461260537936571,0.62472647702407,0.19369063772048847
0.58,0.11640543364681295,0.6094091903719913,0.19547288998069837
0.59,0.11885067479320853,0.5973741794310722,0.19825708061002179
0.6,0.12203467153284671,0.5853391684901532,0.20196300490751226
0.61,0.12392550143266476,0.5678336980306345,0.2034496275970208
0.62,0.1264051961029228,0.5536105032822757,0.2058165548098434
0.63,0.12973684210526315,0.5393873085339168,0.20916419176919812
0.6399999999999999,0.13209121245828698,0.5196936542669585,0.2106430155210643
0.6499999999999999,0.13519061583577713,0.5043763676148797,0.21322849213691028
0.6599999999999999,0.13933915211970074,0.4890590809628009,0.21688500727802038
0.6699999999999999,0.14436387607119314,0.47921225382932164,0.22188449848024316
0.6799999999999999,0.14898102600140548,0.4638949671772429,0.225531914893617
0.69,0.15248493975903615,0.4431072210065646,0.226890756302521
0.7,0.15913634546181527,0.43544857768052514,0.23308931185944362
0.71,0.16415986248388484,0.4179431072210066,0.23572971305152732
0.72,0.16905311778290993,0.40043763676148797,0.23773952582007146
0.73,0.17609126984126985,0.38840262582056895,0.24232081911262798
0.74,0.18060021436227225,0.3687089715536105,0.24244604316546764
0.7499999999999999,0.1870967741935484,0.3490153172866521,0.24360442917143948
0.7599999999999999,0.19206145966709348,0.3282275711159737,0.24232633279483037
0.7699999999999999,0.2,0.3096280087527352,0.2430227565478746
0.7799999999999999,0.2062992125984252,0.28665207877461707,0.23992673992673993
0.7899999999999999,0.21723834652594548,0.2702407002188184,0.24085811799122378
0.7999999999999999,0.22577422577422576,0.24726477024070023,0.2360313315926893
0.8099999999999999,0.23469387755102042,0.22647702407002188,0.23051224944320714
0.82,0.24040920716112532,0.20568927789934355,0.22169811320754718
0.83,0.25181950509461426,0.18927789934354486,0.2161149281698938
0.84,0.27538726333907054,0.175054704595186,0.2140468227424749
0.8499999999999999,0.2985685071574642,0.15973741794310722,0.20812544547398432
0.8599999999999999,0.30843373493975906,0.1400437636761488,0.1926260346124906
0.8699999999999999,0.31626506024096385,0.11487964989059081,0.16853932584269662
0.8799999999999999,0.32950191570881227,0.09409190371991247,0.14638297872340425
0.8899999999999999,0.35175879396984927,0.07658643326039387,0.12578616352201258
0.8999999999999999,0.4172661870503597,0.06345733041575492,0.11016144349477683
0.9099999999999999,0.41,0.044857768052516414,0.08086785009861933
0.9199999999999999,0.3918918918918919,0.03172866520787746,0.058704453441295545
0.9299999999999999,0.39473684210526316,0.016411378555798686,0.031512605042016806
0.94,0.3333333333333333,0.0087527352297593,0.017057569296375266
0.95,0.16666666666666666,0.0010940919037199124,0.002173913043478261
